Title: The Great Gatsby, Author: F. Scott Fitzgerald, ISBN: 9780743273565
Title: To Kill a Mockingbird, Author: Harper Lee, ISBN: 9780061120084
Title: 1984, Author: George Orwell, ISBN: 9780451524935
Title: Pride and Prejudice, Author: Jane Austen, ISBN: 9780486284736
Title: The Catcher in the Rye, Author: J.D. Salinger, ISBN: 9780316769488
Title: The Hobbit, Author: J.R.R. Tolkien, ISBN: 9780547928227
Title: Fahrenheit 451, Author: Ray Bradbury, ISBN: 9781451673319
Title: The Lord of the Rings, Author: J.R.R. Tolkien, ISBN: 9780544003415
Title: Animal Farm, Author: George Orwell, ISBN: 9780451526342
Title: Brave New World, Author: Aldous Huxley, ISBN: 9780060850524
Title: The Da Vinci Code, Author: Dan Brown, ISBN: 9780307474278
Title: Harry Potter and the Sorcerer's Stone, Author: J.K. Rowling, ISBN: 9780590353403
Title: The Alchemist, Author: Paulo Coelho, ISBN: 9780062315007
Title: The Hunger Games, Author: Suzanne Collins, ISBN: 9780439023528
Title: The Catcher in the Rye, Author: J.D. Salinger, ISBN: 9780316769488
Title: The Grapes of Wrath, Author: John Steinbeck, ISBN: 9780143039433
Title: Catch-22, Author: Joseph Heller, ISBN: 9780684833392
Title: Slaughterhouse-Five, Author: Kurt Vonnegut, ISBN: 9780385333849
Title: The Picture of Dorian Gray, Author: Oscar Wilde, ISBN: 9780486278070
Title: Lord of the Flies, Author: William Golding, ISBN: 9780140283334
Title: Moby-Dick, Author: Herman Melville, ISBN: 9781853260087
Title: Dracula, Author: Bram Stoker, ISBN: 9780486411095
Title: The Odyssey, Author: Homer, ISBN: 9780140268867
Title: One Hundred Years of Solitude, Author: Gabriel Garcia Marquez, ISBN: 9780061120091
Title: Anna Karenina, Author: Leo Tolstoy, ISBN: 9780143035008
Title: The Adventures of Huckleberry Finn, Author: Mark Twain, ISBN: 9780486280615
Title: The Canterbury Tales, Author: Geoffrey Chaucer, ISBN: 9780140424386
